transfers,UI_extensions,tax_cut
0.6416827862167743,0.4723894559507657,0.13881923780900485
0.7768525743829124,0.8031897578270106,0.2775785572122164
0.8847212865612333,1.0649288721800405,0.41922849975051646
0.9654676865762603,1.2621823870946407,0.5612568822263531
1.0302638497114076,1.3039506530114255,0.7020443676352002
1.0836691592275474,1.3405965574080718,0.8397219815511707
1.1287307081791287,1.3708992927920245,0.9718921545742452
1.1674003067189687,1.3971783705780108,1.0946939034749106
1.2010334676580197,1.4202131849434565,1.1551704429118024
1.23060668100449,1.4405975956327892,1.2057026789693377
1.2568477322539229,1.458768492970784,1.248040865967315
1.2803131132397798,1.4750766074062744,1.2844898619954312
1.3014372862683488,1.489806018748297,1.3163795341390243
1.3205652915986879,1.5031884846167778,1.3446502627115304
1.3379751381333869,1.515413507731939,1.3699741604461764
1.353893638620586,1.5266365909219368,1.392852931191471
1.3685078870754455,1.5369859055374802,1.4136710864797295
1.381973747861817,1.5465676946681723,1.4327299982313566
1.3944222412750213,1.5554706011949264,1.4502701681945784
1.4059644156683695,1.5637691105844327,1.4664864662228745
