transfers,UI_extensions,tax_cut
0.30522314105032927,0.4550577636627024,0.10433376155763686
0.46835084871431343,0.7519221015370237,0.21172258443688322
0.5824049368441716,0.9527543792180956,0.3205487464472315
0.6686729548677657,1.0713108107355782,0.4289704437728174
0.7374987371511594,1.1076169372974192,0.5354260367791147
0.7944833423679525,1.1368654543852175,0.6381113346123176
0.8429457783850706,1.162688003392325,0.73449512919968
0.8849774089909047,1.1863117278169566,0.8202804088433503
0.9219707526284052,1.2080743952215771,0.8857334221523934
0.9548983354101174,1.228145889244059,0.939374682551003
0.9844679552852214,1.2466704331971072,0.9849474012433205
1.0112130068321312,1.2637901421043494,1.024636856829862
1.0355472378987838,1.2796418311374582,1.0598303537481772
1.057799297226463,1.2943527478948194,1.0914535162929937
1.0782353692648203,1.308037984500176,1.120154075586756
1.0970745348087563,1.3207999335377874,1.1464050452609753
1.1144995346312583,1.3327288359862797,1.1705646812684534
1.1306645299426357,1.3439038914430668,1.1929127108461746
1.1457008383714373,1.3543945502973223,1.2136730726029779
1.1597212652746542,1.3642617923515492,1.2330287369326196
